City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,mishkovo-pohorilove,46.9995,32.118,272.22,73,92,3.8,UA,1701668293
83,pisco,-13.7,-76.2167,292.18,82,0,3.09,PE,1701668073
84,tolanaro,-25.0319,46.9987,297.19,78,40,5.14,MG,1701668293
85,ketchikan,55.3422,-131.6461,281.41,81,100,3.09,US,1701668131
86,tuyen quang,21.8233,105.2181,292.48,84,100,0.53,VN,1701668294
87,nemuro,43.3236,145.575,277.73,67,67,4.71,JP,1701668294
88,taoudenni,22.6783,-3.9836,294.14,42,0,3.74,ML,1701668294
89,belomorsk,64.5232,34.7668,257.22,98,72,1.76,RU,1701668295
90,udachny,66.4167,112.4,235.62,73,92,1.62,RU,1701668295
91,magherafelt,54.7536,-6.6066,277.7,88,100,3.79,GB,1701668295
92,anadyr,64.75,177.4833,252.59,83,20,4.0,RU,1701668295
93,olonkinbyen,70.9221,-8.7187,273.1,81,53,5.67,SJ,1701668296
94,onega,63.9061,38.1404,254.85,100,95,1.15,RU,1701668296
95,ghanzi,-21.5667,21.7833,301.37,16,80,7.36,BW,1701668296
96,chibougamau,49.9168,-74.3659,260.94,79,100,5.66,CA,1701668216
97,santa cruz,-17.8,-63.1667,296.85,88,40,2.57,BO,1701668203
98,fale old settlement,-9.3852,-171.2468,302.48,75,95,7.16,TK,1701668297
99,quellon,-43.1167,-73.6167,280.89,93,11,3.86,CL,1701668297
100,issia,6.4922,-6.5856,294.94,98,32,1.1,CI,1701668298
101,yellowknife,62.456,-114.3525,254.57,84,100,4.63,CA,1701668119
102,carmelo,-33.9892,-58.2856,287.41,51,98,4.29,UY,1701668030
103,iskateley,67.6803,53.1512,257.47,94,96,5.26,RU,1701668298
104,belle fourche,44.6714,-103.8522,275.96,39,49,3.15,US,1701668001
105,edinburgh of the seven seas,-37.0676,-12.3116,287.77,86,1,6.03,SH,1701668299
106,alofi,-19.0595,-169.9187,299.2,76,3,6.64,NU,1701668299
107,qarazhal,48.0078,70.7903,271.23,61,76,1.53,KZ,1701668299
108,deschutes river woods,43.9915,-121.3584,282.48,82,20,8.75,US,1701668300
109,port mathurin,-19.6833,63.4167,299.07,77,32,7.04,MU,1701668300
110,inhambane,-23.865,35.3833,300.42,50,42,3.31,MZ,1701668300
111,gorontalo,0.5412,123.0595,303.25,72,35,1.93,ID,1701668300
112,selfoss,63.9331,-20.9971,272.06,57,100,4.17,IS,1701668301
113,arraial do cabo,-22.9661,-42.0278,296.9,93,99,8.56,BR,1701668301
114,afaahiti,-17.75,-149.2833,301.08,82,100,10.96,PF,1701668301
115,roswell,34.0232,-84.3616,283.97,89,0,2.06,US,1701668301
116,avarua,-21.2078,-159.775,297.18,78,20,4.63,CK,1701668302
117,narasapur,16.45,81.6667,296.39,94,100,8.93,IN,1701668302
118,bat khela,34.6167,71.9714,291.96,16,0,0.53,PK,1701668302
119,kalmunai,7.4167,81.8167,303.03,71,65,3.52,LK,1701668302
