City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
163,roscommon,53.6333,-8.1833,272.1,91,8,3.78,IE,1701670122
164,san juan de miraflores,-12.1629,-76.9635,293.24,81,100,2.55,PE,1701670122
165,acapulco de juarez,16.8634,-99.8901,299.05,83,20,1.54,MX,1701670122
166,kampong chhnang,12.1667,104.55,305.73,51,70,2.68,KH,1701670122
167,port elizabeth,-33.918,25.5701,293.2,74,0,6.17,ZA,1701670123
168,tomatlan,19.9333,-105.25,296.62,69,99,1.64,MX,1701670123
169,sitka,57.0531,-135.33,280.09,81,100,5.14,US,1701670123
170,ouallam,14.3188,2.0866,295.25,19,24,4.1,NE,1701670123
171,acarau,-2.8856,-40.12,298.77,83,92,3.46,BR,1701670124
172,annau,37.8876,58.516,291.84,21,0,1.94,TM,1701670124
173,buka,40.8108,69.1986,288.27,30,30,1.36,UZ,1701670124
174,nizhniy kuranakh,58.8353,125.4869,250.22,97,100,1.29,RU,1701670124
175,geraldton,-28.7667,114.6,301.38,54,0,8.75,AU,1701670062
176,belleville,44.1788,-77.3705,274.32,96,100,3.68,CA,1701670124
177,sillamae,59.3997,27.7547,264.9,94,98,2.6,EE,1701670125
178,sao vicente,-23.9631,-46.3919,298.86,26,98,1.22,BR,1701670125
179,floro,61.5996,5.0328,272.13,69,0,4.12,NO,1701670125
180,udachny,66.4167,112.4,235.62,73,91,1.65,RU,1701670125
181,chonchi,-42.6128,-73.8092,280.71,99,25,1.52,CL,1701670125
182,gagarin,55.5529,34.9954,261.72,95,99,4.58,RU,1701670126
183,fortuna,40.5982,-124.1573,288.52,88,100,7.72,US,1701670126
184,enewetak,11.3474,162.3373,301.08,71,97,8.65,MH,1701670126
185,cova figueira,14.8905,-24.2934,295.34,78,83,6.11,CV,1701670126
186,yazd,31.8972,54.3675,285.21,24,0,3.09,IR,1701670126
187,karratha,-20.7377,116.8463,303.21,57,11,6.68,AU,1701669889
188,challapata,-18.9,-66.7667,284.27,62,100,3.04,BO,1701670127
189,general conesa,-40.1,-64.4333,283.04,59,0,6.34,AR,1701670127
190,yima,34.7381,111.8839,287.3,22,0,6.87,CN,1701670127
191,magadan,59.5667,150.8,250.47,93,60,4.43,RU,1701670005
192,madang,-5.2246,145.7966,300.93,87,74,2.82,PG,1701670127
193,port moresby,-9.4431,147.1797,302.02,70,34,5.63,PG,1701670128
194,shenjiamen,29.9576,122.298,285.36,87,100,2.69,CN,1701670128
195,kuqa,41.7278,82.9364,280.03,28,74,2.91,CN,1701670128
196,biloela,-24.4167,150.5,308.22,26,54,2.53,AU,1701670128
197,hammerfest,70.6634,23.6821,271.4,93,100,8.75,NO,1701670128
198,kavalerovo,44.2661,135.0572,277.34,49,7,0.89,RU,1701670128
199,slave lake,55.2834,-114.769,268.14,93,100,1.54,CA,1701670129
200,bedi,22.5,70.05,299.25,57,0,7.57,IN,1701670129
201,gumel,12.6279,9.3912,293.39,17,73,4.03,NG,1701670129
202,zaozersk,69.4005,32.4476,266.39,96,100,2.14,RU,1701670129
203,encheng,22.1839,112.3026,299.56,52,64,1.61,CN,1701670130
204,nantucket,41.2835,-70.0995,282.23,99,100,0.0,US,1701670130
205,price,39.5994,-110.8107,274.74,69,0,2.06,US,1701670130
206,lodja,-3.4833,23.4333,293.88,99,100,0.55,CD,1701670130
207,chuncheon,37.8747,127.7342,281.12,39,55,1.7,KR,1701670130
208,pacific grove,36.6177,-121.9166,286.97,84,0,0.45,US,1701669994
209,bima,-8.4667,118.7167,304.6,65,91,0.15,ID,1701670130
210,ancud,-41.8697,-73.8203,279.35,90,3,2.4,CL,1701670131
211,gualaceo,-2.9,-78.7833,287.85,94,97,1.28,EC,1701670131
212,isafjordur,66.0755,-23.124,273.56,83,99,3.82,IS,1701670131
213,papao,-17.75,-149.55,301.85,82,93,11.66,PF,1701670131
214,kolonia town,6.964,158.206,303.15,74,40,2.57,FM,1701670131
215,bom jesus,-9.0744,-44.3586,295.28,82,85,0.5,BR,1701670132
216,ulladulla,-35.35,150.4667,301.35,63,36,5.3,AU,1701670132
